0.634,1.43,NA,1.63,0.966,1.4,0.868,0.314,0.388,NA,0.326,0.21
0.236,0.508,1.78,1.46,NA,1.46,1.94,NA,NA,NA,NA,NA
1.04,1.65,3.15,2.74,1.13,0.98,0.692,NA,NA,0.415,0.394,0.355
NA,0.31,NA,4.57,1.52,NA,2.7,1.99,0.51,NA,1.43,0.923
0.547,0.581,5.12,2.69,3.11,NA,1.81,0.989,1.52,0.835,0.654,2.42
1.48,0.588,1.86,4.28,NA,NA,NA,1.61,0.616,0.524,0.422,0.38
0.347,0.323,0.852,0.925,0.559,NA,NA,1.23,NA,0.435,0.328,NA
NA,NA,1.31,2.72,3.89,2.59,1.21,0.506,0.295,0.302,0.372,0.428
0.387,0.272,2.51,3.18,2.31,2.91,1.94,0.377,0.392,0.351,0.374,NA
NA,0.351,1.52,1.72,0.402,NA,0.55,0.358,0.235,0.298,0.279,NA
0.302,0.45,NA,1.23,1,NA,0.464,0.347,0.201,0.236,0.286,NA
0.414,0.422,1.63,3.25,1.89,2.38,NA,0.302,NA,0.265,0.274,0.307
0.253,0.58,1.5,NA,1.16,0.636,0.309,0.296,0.601,0.277,0.22,0.287
0.138,0.39,0.666,0.749,0.7,0.729,0.399,0.269,0.246,0.279,0.381,0.301
0.348,0.163,0.599,0.539,1.54,1.78,2.97,1.8,0.468,0.605,0.621,0.3
0.338,0.338,0.816,1.79,0.62,1.69,0.537,0.701,NA,0.494,0.485,0.28
0.318,0.158,NA,3.54,NA,0.427,NA,1.74,NA,0.686,0.505,1.69
0.996,0.732,1.32,1.38,0.727,1.37,0.518,0.414,NA,0.487,0.386,0.327
0.325,NA,1.28,1.16,NA,0.895,0.342,0.363,0.845,0.478,0.693,3.39
NA,0.468,NA,5.23,2.32,NA,0.497,0.424,1.45,0.627,0.467,0.898
0.496,0.611,1.49,3.36,NA,NA,0.885,1.43,1.23,0.938,0.591,0.761
NA,NA,0.674,NA,NA,2.1,2.07,0.443,0.595,1,0.733,0.393
NA,0.414,2.2,3.83,NA,NA,0.863,0.575,0.383,0.42,0.408,0.438
0.388,NA,2.7,3.08,NA,0.402,0.446,0.208,0.277,0.181,NA,0.239
0.194,0.27,1.03,0.846,0.491,NA,1.68,0.47,NA,0.858,0.833,0.506
NA,1.74,NA,NA,0.583,0.974,0.975,2.49,0.938,NA,1.92,0.572
0.669,NA,1.38,2.58,0.49,0.238,0.387,0.373,0.257,0.388,0.3,0.23
NA,0.668,2.11,2.21,1.04,NA,0.52,0.754,0.438,0.502,0.907,NA
0.384,0.462,2.28,NA,NA,1.04,3.82,2.56,0.99,0.378,0.345,NA
0.319,0.328,3.56,4.5,1.17,3.32,1.15,NA,0.46,0.364,NA,0.348
NA,0.762,1.13,0.695,0.587,NA,0.371,NA,1.41,1.75,1.35,0.879
0.382,0.452,NA,3.27,1.88,0.898,1.65,0.658,NA,0.418,0.348,1.22
0.778,1.02,1.04,1.51,0.464,NA,0.791,0.256,0.269,NA,0.323,0.413
1.63,0.633,2.12,1.92,2.09,2.24,3.19,1.07,0.44,0.446,0.729,NA
0.822,0.347,NA,2.2,0.643,1.86,1.06,0.468,0.293,NA,0.302,0.318
0.245,0.229,0.558,1.92,1.1,1.35,0.225,0.2,0.204,0.262,0.29,0.267
0.27,0.342,1.42,NA,0.466,2.74,0.686,0.4,0.321,0.327,0.325,0.209
0.255,0.573,0.518,0.76,NA,1.83,2.61,NA,NA,0.303,0.344,0.33
