,0,1,2,3,4,5,6,7,8,9,10,11
0,16.7,73.3,50.5,72.2,45.5,37.6,22.6,16.3,18.5,12.9,26.0,14.2
1,10.5,23.397108794178436,64.8,53.9,134.0,38.5,53.7,18.1,86.8,30.9,16.1,47.3
2,56.4,23.41846943727959,92.2,86.7,51.3,37.598202787988996,25.0,46.4,15.6,13.5,14.3,16.5
3,10.1,23.39734596208467,47.9,112.0,68.3,37.59152562419815,57.2,38.7,18.8,43.7,63.5,36.3
4,23.4,23.403319182562903,146.0,67.9,100.0,37.2,59.5,19.100095836963447,15.986984878216449,38.3,43.1,81.3
5,44.1,14.3,36.5,103.0,69.2,37.60087356584771,26.429052205812635,19.100095836963447,14.1,13.1,12.9,13.2
6,19.8,26.2,54.5,56.9,52.94394991331735,40.4,26.200415452563192,25.9,10.9,10.0,9.3,8.7
7,8.59,11.9,17.9,45.6,118.0,79.5,47.4,16.2,14.1,16.7,15.8,18.5
8,19.796704548967355,11.3,23.5,149.0,56.219380845671076,85.6,51.4,17.9,14.2,10.8,15.6,18.377255253426085
9,19.796489890593016,20.7,64.5,135.0,31.0,37.588405408628645,22.1,15.8,9.5,9.5,8.8,8.0
10,11.2,33.2,24.5,92.8,53.6,47.5,17.9,12.2,15.988974919441532,9.0,11.1,13.4
11,13.7,17.8,69.1,134.0,53.3,37.58904708140011,21.3,12.8,16.0,10.3,18.80107621953802,16.9
12,9.44,23.382668428226804,61.7,73.4,50.0,24.4,16.7,21.8,31.0,17.1,14.3,31.5
13,15.7,27.4,44.1,34.0,29.4,36.9,26.429490825375332,10.3,10.4,11.4,26.3,21.8
14,21.7,10.3,27.2,84.89778710021642,68.5,56.2,42.2,37.1,16.2,23.7,18.800977902639083,13.0
15,19.796704548967355,11.9,35.3,65.9,24.4,43.4,28.6,14.4,15.98456594608911,28.9,52.8,18.49765485920522
16,19.8,13.0,65.4,110.0,51.9,21.0,23.1,23.8,15.981656684521067,16.60010318932453,18.8,61.0
17,37.6,36.3,66.5,88.0,51.900028602751426,41.4,20.4,12.2,9.6,16.851810467988376,13.4,18.1
18,19.0,42.9,56.9,69.5,79.3,37.59186093420046,23.7,14.4,25.4,16.7,26.8,119.0
19,45.2,16.4,26.4,86.4,51.900028602751426,22.9,18.5,19.100095836963447,55.4,16.60010318932453,21.6,42.6
20,21.9,28.8,45.8,89.0,93.5,51.6,37.1,41.0,15.988366045480525,16.60010318932453,27.6,37.1
21,34.3,26.1,31.4,84.89778710021642,62.6,119.0,71.4,21.4,27.9,54.6,56.7,20.0
22,19.800007289524086,23.4,105.0,84.89778710021642,73.4,36.8,27.4,19.100095836963447,13.8,16.60010318932453,14.3,23.8
23,15.6,28.5,117.0,171.0,30.2,37.588405408628645,26.2,12.2,13.6,9.7,9.9,11.8
24,11.9,20.1,80.0,72.8,29.1,29.1,48.1,19.1,55.3,29.7,40.6,18.1
25,27.3,95.7,83.6,46.6,29.3,36.5,26.200415452563192,63.3,29.9,44.7,71.5,22.4
26,19.796489890593016,13.9,37.1,75.7,51.65192480611197,13.0,17.8,15.3,15.98417625363548,21.0,23.0,9.93
27,8.7,36.1,92.9,113.0,51.5,20.5,19.9,31.5,16.6,19.8,39.3,44.8
28,19.2,32.5,88.1,84.89778710021642,107.0,37.59230255887921,83.1,68.6,24.8,15.6,15.4,24.0
29,26.5,26.5,106.0,205.0,62.9,108.0,45.8,44.1,31.1,15.0,29.0,16.0
30,44.6,70.1,76.6,37.1,33.5,26.8,18.3,18.1,54.2,39.6,52.7,40.5
31,30.9,23.0,101.0,137.0,67.2,32.7,26.199976833000495,24.4,15.4,16.6,18.800126789124832,48.1
32,26.4,23.405205355217706,50.6,84.89778710021642,22.5,41.7,26.199976833000495,23.1,11.4,18.1,19.2,18.507096467612083
33,67.1,53.0,70.9,84.9,79.3,66.8,75.4,35.2,25.3,19.1,19.201450218487942,83.1
34,37.5,21.6,43.5,62.9,31.0,37.60330265114405,35.6,21.1,11.2,10.0,18.798750437691798,12.1
35,9.6,8.0,29.8,77.3,51.65192480611197,57.9,10.9,8.4,7.9,8.7,9.8,9.8
36,9.6,15.7,40.3,87.9,22.0,37.598733581715514,16.0,12.8,19.4,14.1,14.3,12.0
37,19.800007289524086,33.5,32.9,84.89778710021642,26.0,22.8,37.8,19.100095836963447,10.9,12.5,10.4,14.2
