,0,1,2,3,4,5,6,7,8,9,10,11
0,16.7,73.3,57.699433124212476,72.2,45.5,37.6,22.6,16.3,18.5,12.9,26.0,14.2
1,10.5,48.3,64.8,53.9,134.0,38.5,53.7,18.1,86.8,30.9,16.1,47.3
2,56.4,26.282059486931274,92.2,86.7,51.3,27.7,25.0,46.4,15.6,13.5,14.3,16.5
3,10.1,14.0,57.39468143972143,112.0,68.3,88.7,32.26630254666654,19.61855500575742,18.8,43.7,63.5,36.3
4,23.4,20.8,146.0,67.9,100.0,37.2,59.5,32.5,22.6,18.470643590691708,43.1,21.69360566794682
5,44.1,14.3,36.5,103.0,69.2,31.7,51.9,31.3,14.1,13.1,12.9,13.2
6,19.8,26.2,54.5,56.9,44.4,40.4,23.6,25.9,10.9,15.579139250045603,9.3,19.425211541564696
7,8.59,11.9,55.319625142378065,45.6,118.0,79.5,47.4,16.2,14.1,16.7,15.8,18.5
8,19.748353013333038,11.3,23.5,149.0,102.0,85.6,51.4,17.9,14.2,10.8,15.6,18.7
9,27.9,20.7,56.08741831578673,80.95438559241214,31.0,15.8,22.1,15.8,9.5,9.5,16.528040636880647,16.110279239663214
10,11.2,33.2,24.5,92.8,50.507861461821335,47.5,17.9,12.2,8.9,9.0,18.16480223801935,18.652961134091434
11,13.7,17.8,69.1,134.0,53.3,55.8,21.3,12.8,16.0,10.3,9.0,16.9
12,9.44,27.9,61.7,73.4,50.0,24.4,30.24482920536691,21.8,31.0,17.1,14.3,31.5
13,15.7,26.428847863355102,44.1,34.0,50.175314473857526,36.9,20.1,10.3,10.4,11.4,26.3,21.8
14,21.7,10.3,58.25478984662184,27.1,68.5,56.2,42.2,37.1,18.137511749285185,23.7,26.3,13.0
15,9.22,11.9,35.3,80.1853850395403,24.4,43.4,28.6,14.4,12.8,28.9,19.431258738406733,19.51489422825241
16,20.295988376623846,13.0,65.4,110.0,51.9,21.0,23.1,23.8,55.7,17.9,18.8,61.0
17,37.6,36.3,66.5,88.0,55.9,41.4,20.4,12.2,9.6,15.3,19.127666626837733,18.1
18,19.0,42.9,56.9,69.5,79.3,40.4,30.307736159644435,14.4,25.4,16.7,26.8,119.0
19,45.2,16.4,26.4,86.4,65.0,22.9,18.5,11.9,55.4,36.4,21.6,42.6
20,21.9,28.8,45.8,89.0,93.5,51.6,37.1,41.0,53.0,63.3,27.6,37.1
21,34.3,26.1,31.4,81.02079036098213,62.6,119.0,71.4,21.4,27.9,54.6,56.7,20.0
22,18.1,26.31109579051933,105.0,181.0,73.4,36.8,27.4,18.5,13.8,13.9,14.3,23.8
23,15.6,28.5,117.0,171.0,30.2,14.6,26.2,12.2,13.6,9.7,9.9,11.8
24,11.9,20.1,80.0,72.8,29.1,29.1,48.1,19.1,55.3,18.652427921709325,40.6,18.1
25,27.3,95.7,83.6,46.6,29.3,36.5,24.1,63.3,29.9,44.7,71.5,22.4
26,37.9,13.9,37.1,75.7,33.1,13.0,17.8,15.3,9.85,21.0,19.531506567353045,9.93
27,8.7,36.1,92.9,113.0,51.5,39.983426410825615,19.9,31.5,16.6,19.8,39.3,44.8
28,19.2,32.5,88.1,136.0,107.0,33.3,83.1,68.6,24.8,15.6,15.4,24.0
29,26.5,26.5,106.0,205.0,62.9,108.0,45.8,44.1,31.1,15.0,29.0,16.0
30,44.6,70.1,76.6,37.1,33.5,26.8,29.96296314904792,18.1,54.2,39.6,52.7,40.5
31,30.9,23.0,101.0,137.0,67.2,32.7,44.5,24.4,20.051151063527996,16.6,19.9,48.1
32,26.4,43.7,50.6,76.1,22.5,41.7,28.3,23.1,11.4,18.1,19.2,26.9
33,67.1,53.0,70.9,79.84178452203575,58.66460728688858,66.8,75.4,35.2,25.3,19.1,24.7,83.1
34,37.5,21.6,43.5,62.9,50.100929278854665,30.4,35.6,21.1,11.2,10.0,8.6,12.1
35,9.6,8.0,29.8,77.3,40.3,57.9,10.9,8.4,7.9,8.7,9.8,9.8
36,9.6,15.7,40.3,87.9,22.0,54.5,16.0,12.8,19.4,14.1,18.880341233284227,12.0
37,22.7,33.5,58.123149738955725,79.57412339276023,26.0,22.8,37.8,18.3,10.9,12.5,10.4,14.2
