,0,1,2,3,4,5,6,7,8,9,10,11
0,16.7,23.964368963029884,50.5,72.2,45.5,37.6,22.6,16.3,18.5,12.9,26.0,14.2
1,10.5,48.3,64.8,53.9,134.0,38.5,53.7,18.1,86.8,30.9,16.1,47.3
2,56.4,60.3,92.2,86.7,51.3,27.7,25.0,46.4,15.6,13.5,14.3,16.5
3,21.319272680274537,14.0,47.9,112.0,68.3,88.7,57.2,38.7,18.8,43.7,63.5,36.3
4,23.4,20.8,146.0,67.9,100.0,39.38149826819428,59.5,32.5,22.6,38.3,19.454229660172082,81.3
5,44.1,14.3,36.5,103.0,69.2,31.7,51.9,31.3,14.1,13.1,12.9,13.2
6,19.8,25.81949047119816,54.5,56.9,44.4,40.4,23.6,17.96971818415122,10.9,10.0,9.3,17.518964085301604
7,8.59,23.000764756333453,17.9,45.6,118.0,79.5,47.4,16.2,14.1,16.7,15.8,18.5
8,11.2,11.3,23.5,149.0,102.0,85.6,51.4,17.9,14.2,10.8,15.6,18.7
9,27.9,20.7,64.5,135.0,53.05311269221209,15.8,27.694267171737625,15.8,9.5,9.5,8.8,8.0
10,11.2,33.2,24.5,92.8,53.6,40.455678707010485,17.9,12.2,8.9,9.0,11.1,13.4
11,13.7,17.8,69.1,134.0,53.3,55.8,21.3,12.8,16.0,10.3,14.848223055477359,16.9
12,9.44,27.9,61.7,73.4,50.0,24.4,16.7,21.8,31.0,17.1,14.3,31.5
13,15.7,27.4,44.1,34.0,29.4,36.9,20.1,18.19792694675667,10.4,15.394933952693513,15.967341187923438,21.8
14,21.7,10.3,27.2,27.1,68.5,56.2,42.2,37.1,16.2,18.08892196088871,26.3,13.0
15,9.22,11.9,35.3,79.27029587827045,24.4,43.4,28.6,18.769253479701387,12.8,28.9,52.8,19.897698865649865
16,19.8,27.30613515547612,65.4,110.0,51.9,21.0,23.1,23.8,55.7,17.9,18.8,61.0
17,37.6,36.3,66.5,88.0,55.9,41.4,20.4,12.2,9.6,15.3,13.4,18.1
18,19.0,42.9,56.9,69.5,79.3,40.4,23.7,14.4,25.4,18.19944206503448,26.8,119.0
19,45.2,16.4,26.4,86.4,65.0,22.9,18.5,11.9,55.4,36.4,21.6,42.6
20,21.9,28.8,45.8,89.0,93.5,51.6,37.1,41.0,53.0,63.3,27.6,37.1
21,34.3,26.1,56.2293719671698,88.6,62.6,119.0,71.4,21.4,27.9,54.6,56.7,20.0
22,18.1,23.4,105.0,181.0,73.4,38.553390548277456,27.4,18.5,13.8,13.9,14.3,23.8
23,15.6,28.5,117.0,171.0,30.2,14.6,26.2,12.2,16.47359229777721,9.7,9.9,11.8
24,11.9,20.1,80.0,72.8,29.1,29.1,48.1,20.52649926360787,55.3,29.7,40.6,18.1
25,27.3,95.7,83.6,46.6,29.3,36.5,24.1,63.3,29.9,44.7,20.31439992380581,22.4
26,18.672928023879344,13.9,37.1,75.7,33.1,13.0,17.8,15.3,9.85,21.0,23.0,9.93
27,18.886723735846324,36.1,57.296292572182395,113.0,51.5,20.5,19.9,18.80615333606963,16.6,19.8,39.3,22.05423524295966
28,19.2,32.5,88.1,136.0,107.0,33.3,83.1,20.05219142106278,24.8,15.6,15.4,24.0
29,26.5,26.5,106.0,205.0,62.9,108.0,45.8,44.1,31.1,15.0,17.94697147452249,16.0
30,44.6,70.1,76.6,37.1,33.5,26.8,18.3,23.358226712515577,54.2,18.61737008545984,52.7,40.5
31,30.9,23.0,56.455852664636694,137.0,67.2,32.7,44.5,20.856649159798497,15.4,16.6,19.9,18.926948013243283
32,26.4,43.7,50.6,80.49386299088323,22.5,41.7,28.3,23.1,11.4,18.1,19.2,26.9
33,67.1,53.0,70.9,84.9,79.3,66.8,27.895779989025705,35.2,25.3,19.1,19.714080654431612,83.1
34,37.5,21.6,43.5,62.9,31.0,30.4,35.6,21.1,14.12365063307843,10.0,8.6,12.1
35,9.6,8.0,29.8,77.3,40.3,57.9,10.9,8.4,7.9,8.7,9.8,16.941569622665575
36,9.6,15.7,40.3,87.9,22.0,54.5,16.0,12.8,19.4,14.1,14.3,12.0
37,22.7,33.5,32.9,30.0,26.0,22.8,37.8,20.738970361806675,10.9,12.5,10.4,14.2
