16.7,73.3,50.5,72.2,45.5,37.6,NA,16.3,18.5,12.9,26,14.2
NA,NA,64.8,53.9,134,38.5,53.7,18.1,86.8,30.9,16.1,47.3
56.4,60.3,NA,86.7,51.3,27.7,25,46.4,15.6,13.5,14.3,NA
NA,NA,47.9,112,68.3,NA,57.2,38.7,18.8,43.7,NA,36.3
23.4,20.8,146,67.9,NA,NA,59.5,32.5,22.6,38.3,43.1,81.3
44.1,NA,36.5,103,69.2,NA,NA,31.3,NA,NA,NA,NA
NA,26.2,54.5,56.9,NA,NA,NA,25.9,10.9,10,NA,8.7
8.59,11.9,17.9,45.6,118,79.5,47.4,NA,14.1,16.7,15.8,18.5
11.2,NA,23.5,149,102,85.6,51.4,17.9,NA,10.8,NA,18.7
27.9,20.7,64.5,NA,31,NA,22.1,15.8,9.5,9.5,8.8,NA
11.2,33.2,24.5,NA,53.6,47.5,17.9,12.2,NA,9,NA,13.4
13.7,17.8,69.1,NA,53.3,55.8,21.3,12.8,16,10.3,9,NA
NA,27.9,61.7,73.4,50,NA,16.7,NA,31,17.1,14.3,31.5
15.7,27.4,44.1,34,29.4,36.9,20.1,10.3,NA,11.4,26.3,21.8
21.7,10.3,27.2,27.1,68.5,56.2,42.2,37.1,16.2,23.7,26.3,13
9.22,11.9,NA,65.9,NA,43.4,28.6,NA,12.8,28.9,NA,NA
19.8,13,65.4,110,51.9,21,23.1,23.8,NA,17.9,18.8,61
37.6,36.3,66.5,88,55.9,41.4,20.4,12.2,NA,15.3,13.4,18.1
19,42.9,56.9,69.5,79.3,40.4,23.7,14.4,NA,16.7,26.8,119
45.2,16.4,NA,NA,65,22.9,18.5,11.9,55.4,36.4,21.6,42.6
21.9,28.8,45.8,89,NA,51.6,37.1,41,53,63.3,27.6,37.1
34.3,26.1,NA,88.6,62.6,119,71.4,21.4,27.9,54.6,56.7,20
18.1,NA,105,NA,73.4,36.8,27.4,18.5,13.8,13.9,NA,23.8
15.6,28.5,117,171,30.2,14.6,26.2,12.2,13.6,9.7,9.9,NA
11.9,20.1,80,72.8,29.1,29.1,NA,19.1,NA,NA,40.6,18.1
NA,95.7,83.6,46.6,29.3,36.5,24.1,63.3,29.9,44.7,71.5,22.4
37.9,13.9,37.1,75.7,33.1,13,17.8,NA,NA,21,23,9.93
8.7,36.1,92.9,113,51.5,20.5,19.9,31.5,16.6,19.8,39.3,44.8
19.2,32.5,88.1,136,107,33.3,NA,68.6,24.8,15.6,15.4,24
NA,26.5,106,NA,62.9,108,45.8,44.1,31.1,15,29,16
44.6,NA,76.6,37.1,33.5,26.8,18.3,NA,NA,39.6,52.7,40.5
30.9,NA,101,137,NA,32.7,44.5,24.4,15.4,16.6,19.9,48.1
26.4,43.7,50.6,76.1,22.5,41.7,28.3,23.1,11.4,18.1,19.2,NA
NA,53,70.9,NA,79.3,66.8,75.4,35.2,25.3,NA,24.7,83.1
37.5,21.6,43.5,62.9,31,30.4,NA,21.1,11.2,10,8.6,12.1
9.6,NA,NA,77.3,40.3,57.9,10.9,8.4,7.9,8.7,9.8,NA
NA,15.7,NA,NA,22,NA,16,12.8,19.4,14.1,14.3,12
22.7,33.5,32.9,30,26,22.8,37.8,18.3,10.9,12.5,10.4,14.2
