0.634,1.43,0.981,1.63,0.966,1.4,0.868,0.314,NA,0.271,NA,0.21
NA,0.508,1.78,1.46,2.73,1.46,1.94,0.491,3.69,0.456,0.338,NA
NA,1.65,NA,2.74,1.13,NA,0.692,2.38,0.358,0.415,NA,NA
0.357,0.31,2.39,4.57,1.52,3.08,2.7,1.99,0.51,0.805,1.43,NA
0.547,0.581,5.12,2.69,3.11,0.817,1.81,0.989,1.52,0.835,0.654,2.42
1.48,0.588,1.86,4.28,1.71,0.734,1.74,1.61,NA,0.524,0.422,0.38
0.347,0.323,NA,NA,NA,1.14,0.728,1.23,0.41,NA,0.328,0.432
0.5,0.472,1.31,2.72,3.89,2.59,1.21,0.506,0.295,0.302,0.372,0.428
0.387,0.272,2.51,3.18,2.31,2.91,1.94,0.377,0.392,0.351,0.374,0.375
0.37,0.351,1.52,1.72,0.402,0.433,0.55,0.358,NA,0.298,NA,0.227
0.302,0.45,0.545,1.23,1,1.06,0.464,0.347,NA,0.236,0.286,0.446
0.414,NA,1.63,3.25,1.89,2.38,0.663,0.302,0.432,0.265,0.274,NA
NA,0.58,1.5,1.13,1.16,0.636,0.309,NA,0.601,0.277,0.22,0.287
0.138,0.39,NA,0.749,0.7,0.729,0.399,0.269,NA,0.279,0.381,0.301
0.348,NA,0.599,0.539,1.54,NA,2.97,NA,0.468,0.605,0.621,NA
0.338,0.338,0.816,1.79,0.62,1.69,0.537,0.701,0.317,0.494,0.485,0.28
0.318,0.158,1.35,3.54,0.974,0.427,0.917,1.74,1.58,0.686,0.505,1.69
0.996,0.732,NA,1.38,0.727,1.37,0.518,0.414,0.287,0.487,0.386,0.327
NA,0.724,1.28,1.16,2.7,0.895,NA,0.363,0.845,NA,0.693,3.39
1.69,0.468,NA,NA,2.32,0.666,0.497,0.424,1.45,0.627,NA,0.898
0.496,NA,NA,3.36,2.63,1.1,0.885,NA,1.23,0.938,0.591,0.761
0.63,0.689,0.674,1.5,1.17,2.1,2.07,0.443,0.595,1,0.733,0.393
0.344,0.414,2.2,3.83,1.88,1.46,0.863,0.575,0.383,0.42,0.408,0.438
0.388,0.531,NA,3.08,0.488,0.402,0.446,0.208,0.277,0.181,NA,0.239
0.194,NA,1.03,0.846,0.491,NA,NA,0.47,1.69,0.858,0.833,0.506
1.12,1.74,1.39,0.819,0.583,0.974,0.975,2.49,0.938,1.28,1.92,0.572
0.669,0.376,1.38,2.58,0.49,NA,0.387,0.373,NA,NA,NA,0.23
0.237,0.668,NA,2.21,1.04,NA,0.52,NA,0.438,0.502,0.907,0.73
0.384,0.462,2.28,2.4,2.6,NA,NA,NA,0.99,0.378,0.345,0.395
NA,0.328,3.56,4.5,1.17,3.32,1.15,0.889,0.46,NA,0.367,0.348
0.537,0.762,1.13,NA,0.587,0.441,0.371,NA,1.41,1.75,NA,0.879
0.382,0.452,2.61,3.27,1.88,0.898,1.65,NA,0.368,0.418,0.348,1.22
NA,1.02,1.04,1.51,0.464,1.49,0.791,0.256,0.269,0.407,NA,0.413
1.63,0.633,2.12,1.92,2.09,2.24,3.19,1.07,0.44,NA,0.729,1.85
NA,0.347,1.24,2.2,0.643,1.86,1.06,0.468,0.293,0.391,0.302,0.318
0.245,0.229,0.558,1.92,1.1,1.35,0.225,0.2,0.204,0.262,0.29,0.267
0.27,0.342,1.42,2.24,0.466,2.74,0.686,0.4,NA,0.327,0.325,0.209
0.255,0.573,0.518,0.76,0.909,1.83,2.61,0.856,0.326,NA,0.344,0.33
