16.7,73.3,50.5,72.2,45.5,37.6,NA,13.2526185507728,18.5,12.9,26,14.2
10.5,48.3,64.8,53.9,134,NA,62.1073053532216,18.1,86.8,30.9,16.1,47.3
56.4,60.3,NA,195.365889075432,51.3,27.7,25,46.4,15.6,13.5,14.3,16.5
NA,14.6794923347575,47.9,NA,40.9748505457504,88.7,57.2,38.7,18.8,43.7,63.5,36.3
23.4,20.8,NA,67.9,100,37.2,59.5,32.5,22.6,NA,20.4635100524358,81.3
71.4825601879037,NA,69.9736934820904,121.25088821272,NA,31.7,51.9,31.3,NA,39.6077510275984,43.3799177921315,NA
19.8,26.2,54.5,56.9,44.4,40.4,23.6,NA,7.88563351879689,NA,10.6280276330722,8.7
NA,37.1666628652071,30.8038909673971,NA,118,79.5,NA,42.0156012827365,14.1,16.7,NA,14.7224478888295
11.2,11.3,23.5,NA,31.5416773692282,85.6,51.4,17.9,14.2,10.8,15.6,18.7
10.7020895262096,NA,NA,107.020895262096,31,15.8,22.1,15.8,9.5,9.5,8.8,8
11.2,NA,59.5282258064516,92.8,53.6,47.5,17.9,12.2,8.9,NA,11.9951612903226,13.4
NA,37.6645967962062,NA,105.279354900239,53.3,55.8,21.3,12.8,16,10.3,9,16.9
9.44,27.9,NA,135.337005935049,39.2021312633554,NA,16.7,21.8,31,17.1,NA,10.1166790357046
17.1061839899881,NA,44.1,34,29.4,36.9,NA,22.3762709768026,10.4,NA,9.18207051222276,21.8
NA,32.8183615181474,27.2,NA,104.194629288782,56.2,42.2,37.1,16.2,NA,13.9514842607013,13
6.12693286774411,NA,35.3,65.9,24.4,43.4,28.6,14.4,12.8,28.9,52.8,22.8
19.8,NA,25.2292397660819,110,51.9,21,NA,11.3722709551657,55.7,17.9,18.8,61
37.6,36.3,66.5,88,55.9,41.4,20.4,12.2,9.6,15.3,13.4,18.1
19,42.9,56.9,69.5,79.3,40.4,NA,27.3489845554856,25.4,16.7,26.8,119
45.2,16.4,26.4,86.4,65,22.9,18.5,11.9,55.4,36.4,21.6,42.6
21.9,28.8,45.8,NA,40.0741031847807,99.2744828895703,NA,17.0193335125433,NA,63.3,27.6,37.1
34.3,NA,50.9375359201012,88.6,NA,94.324831651628,71.4,21.4,27.9,54.6,56.7,20
18.1,23.4,105,181,73.4,36.8,NA,16.0918757763975,13.8,13.9,14.3,23.8
15.6,NA,87.8111289692895,171,30.2,NA,30.0872240344387,12.2,NA,12.9334220962519,11.980433099686,NA
11.9,NA,66.4264552627061,72.8,29.1,29.1,48.1,19.1,55.3,29.7,40.6,18.1
NA,34.0274908081146,NA,83.1524318000669,29.3,36.5,24.1,NA,16.2433116499113,12.2627372534903,NA,22.4
37.9,13.9,NA,64.2871303319622,33.1,NA,27.5173412204234,15.3,9.85,21,NA,6.9986301369863
8.7,36.1,92.9,113,NA,31.1270253029981,NA,13.6112017517562,16.6,19.8,NA,20.1310652774825
19.2,NA,98.5140203385118,NA,57.4455729177204,33.3,83.1,68.6,24.8,15.6,NA,14.8700408058131
NA,41.2736654011741,106,NA,61.810803257797,31.5035706926836,NA,NA,18.9420203531959,18.9420203531959,NA,16
44.6,70.1,76.6,37.1,NA,98.9004712552647,18.3,18.1,NA,48.2623667678053,52.7,40.5
30.9,23,NA,48.8212606837607,67.2,32.7,44.5,24.4,15.4,NA,14.713613531292,48.1
26.4,43.7,NA,43.1067002179636,22.5,41.7,NA,28.3696236762632,11.4,18.1,19.2,26.9
67.1,NA,130.212363438311,129.515247252747,NA,62.5956043956044,NA,35.2,25.3,19.1,24.7,83.1
37.5,NA,63.2385594283458,NA,38.5126084056037,30.4,35.6,21.1,11.2,10,NA,40.3581054036024
8.96202679760846,NA,NA,82.0585578656025,40.3,57.9,10.9,8.4,NA,13.1629768589874,9.8,9.8
9.6,15.7,40.3,87.9,22,54.5,NA,9.34332417994454,19.4,NA,6.5695248140235,12
22.7,33.5,32.9,30,26,22.8,NA,21.6849298972918,10.9,12.5,10.4,14.2
