"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",-6.17335050223639,61.8477103061281,131,232,129,102,70.5,53.7,81.6557027171428,35.9,53.8,39.7
"2",31.1,128,218,138,95.1287301562006,103.899230908605,133,47.7,166,80.1,36.8,90.3957387566948
"3",186,230,166,223,118.121726744885,112,75.7,103,38.3,39.4,36.3,43.6
"4",31.7,69.6,261.340639350747,334,198,238,143.449344470819,162,50.9,107,75.384557714942,117.520553345936
"5",88.9,128,445,181,297,104,95.9,102.367257603573,74.3,67.8,94.4,234
"6",182,68,266.683919524529,287,207,80,122,85.6,44.2,42,41.9,45.7
"7",46.3,95.3,140,153,97,93.1,89.9705267780563,56.6,27.3,25.2,19.9,24.3
"8",23.8,38,65.4,133,263,175,129,59.8,40.734988116593,54.2,40.3,51.6
"9",45.5,54.8,136.648136230114,292,282,245,155,47.5,32.5,37.2993768382827,37.4,47.3
"10",81.2,71.6,153,264,75,56.5,59.1,40.1,19.5,23.4,22,17.1
"11",39.1,90.9,61.5,270,153,144,41.7,25.4861643777311,15.4,20,25.7,41.2
"12",37.6,101.047772102998,199,331,132,91.9764676140238,59,27,34,24.6,19.7,37.8
"13",28.6,47.1,138,144,152,52.2,47.9,47.0086325689202,76.4,38.7,32.6,68.6
"14",32.1,40.0791752659431,97.3,74.9,58.9,82.6,42.8,42.6550473875172,22.8,25.4,52,42.8935337547332
"15",25.2456259868429,26.5,62.1046048882341,47,163,137,89.2644906054752,98.6,53.6547741812086,69.9,68.6,35.2
"16",30.8,29.1094471282034,89.7,132,124.772928911495,77.9890328810173,58.2,30,18.5,52.8871053625532,94.6,59.1
"17",54.6553597122828,29.2,131,136.380856493698,110,43.3,45.3,41.6,24.6046984498524,35.2,39.5,52.7069270169359
"18",96,79.7,124.024736812555,178,109,114,47.8,27.9,27.5348427616873,33.7,28.7,36.8
"19",51.1,102,112,155.55328379278,120.034127657374,107,53.8,32.5031868879163,52.8,63.9848112582644,82.5736454599516,196
"20",158,52.3,103,200,167,71.8,55.7,46.4,131,87.8,51.6,128
"21",81.2,86.5,127,286,221,131,102,47.5788931572596,121,133,70,111
"22",141,93.5,95.7,210,156,393,273,69.2,109.573544359293,158,74.8104081114677,66.9
"23",74.2,107,190.243990231233,412,262,125,97.9,59.1,51.5305060983146,43.4,46.9,68.8
"24",46.4,118,228.969804648247,434,91,36.5,51.5,27.7,32.5,25.009626050374,22.6,28.7
"25",34.2,52.7,186,149,76.5,72,160,66.5,145,90.7,100,75.8
"26",95,238,172,141.77902652201,62,43.2983768978997,55.3,160,116.065819900842,95.2,172,102.387763306761
"27",123,140.364409078244,121,170,79.7,45.5072579218818,39.9,39.5,22.2,54.1,79.3642729784701,43
"28",45.8,106,239,333,106,65.8,42.4,82.1,45.2835689644354,49.8,81.8,111
"29",76.1020409016448,71.4,267,320,278,155,120.18600910732,213,100.184837562738,54.3,51.3,92.8
"30",96.6,81.9,266.459518064234,536,164,297,125,121,83.5820824767492,40.2,68.6,45.3
"31",102,177,185,270.670775065107,86.5,86.3,47.8,42.9,112,93.2,137,123
"32",73.1,81.7,269,241.638425482602,156,93.6,83.8,37.531548362762,33.2,41.4992153152413,45.8,141
"33",73.1,118,178.642439940213,182,55.1,88.3,73.1,38.4015255672714,26.7,43.1,30.0748787177949,72.1
"34",210,142,177,188.083720600392,190,194,246,119,66.8572858695709,61.8280789853618,67.4,203
"35",108,80.4,126,137.333727604163,82.1,90.8,92.8,60,30.394908322197,22.5,21,34.2
"36",25.1,23.3,78.1,184,104,131,30.2,21.3,17.2,20.8,26.5,25.8
"37",26.2,40.3,122,211,124.48218706209,118,53.1,27.6,31.4474232236329,59.2,35.9878343537672,30.5
"38",60.4,79,75.5,77,94.3,84.2296533012462,84.7,46.9,28.2854935600484,29,31.3847698359749,56.1
