,0,1,2,3,4,5,6,7,8,9,10,11
0,16.7,73.3,75.14355804594342,72.2,45.5,37.6,22.6,16.3,18.5,19.867292609519065,26.0,14.2
1,10.5,48.3,64.8,53.9,134.0,38.5,53.7,34.123514927911344,86.8,30.9,16.1,47.3
2,56.4,60.3,92.2,86.7,71.84209679918604,27.7,25.0,46.4,15.6,13.5,14.3,16.5
3,10.1,14.0,47.9,112.0,68.3,88.7,53.0553497252634,38.7,18.8,54.37698837864738,63.5,36.3
4,23.4,20.8,146.0,67.9,100.0,37.2,59.5,32.5,22.6,38.3,43.1,81.3
5,44.1,14.3,36.5,103.0,69.2,31.7,51.9,31.3,14.1,13.1,12.9,13.2
6,16.298874350375804,26.2,54.5,56.9,44.4,40.4,23.6,17.099510562717136,10.9,10.0,9.3,8.7
7,8.59,11.9,32.262203745077976,45.6,53.118261509630784,79.5,47.4,16.2,14.1,16.7,15.8,18.5
8,11.2,11.3,23.5,149.0,102.0,85.6,51.4,17.9,14.2,10.8,15.6,18.7
9,27.9,20.7,64.5,135.0,31.0,15.8,22.1,13.387493296051149,9.5,9.5,8.8,8.0
10,11.2,10.890168623844898,24.5,92.8,53.6,47.5,17.9,12.2,8.9,9.0,11.1,13.4
11,13.7,17.8,40.40866170859399,134.0,53.3,55.8,21.3,12.8,16.0,10.3,9.0,16.9
12,9.44,27.9,61.7,73.4,50.0,24.4,16.7,21.8,31.0,17.1,14.3,31.5
13,15.7,27.4,44.1,34.0,29.4,36.9,20.1,10.3,10.4,26.747175344768884,26.3,21.8
14,21.7,10.3,27.2,27.1,68.5,56.2,42.2,37.1,16.2,23.7,26.3,13.0
15,9.22,11.9,35.3,65.9,24.4,43.4,28.6,14.4,12.8,28.9,52.8,22.8
16,30.583323431335675,13.0,65.4,94.90197752295818,51.9,21.0,23.1,23.8,55.7,17.9,18.8,61.0
17,37.6,36.3,66.5,88.0,37.80188605524318,41.4,20.4,12.2,9.6,15.3,13.4,21.077932104523942
18,19.0,42.9,56.9,69.5,79.3,40.4,23.7,14.4,25.4,16.7,26.8,119.0
19,45.2,16.4,62.08335697685034,86.4,65.0,22.9,27.60880099678317,11.9,55.4,36.4,21.6,42.6
20,16.17797095563078,28.8,45.8,89.0,93.5,51.6,37.1,41.0,53.0,63.3,27.6,37.1
21,16.109432130455207,26.1,31.4,88.6,62.6,119.0,71.4,21.4,27.9,54.6,56.7,20.0
22,18.1,23.4,105.0,181.0,73.4,36.8,27.4,18.5,13.8,13.261944884282128,14.3,23.8
23,15.6,28.5,117.0,171.0,30.2,14.6,26.2,12.2,13.6,9.7,9.9,11.8
24,11.9,20.1,80.0,72.8,29.1,94.84582866541629,48.1,19.1,55.3,29.7,40.6,18.1
25,49.254566170521244,95.7,83.6,46.6,72.56792365538251,36.5,24.1,63.3,29.9,44.7,71.5,22.4
26,37.9,13.9,37.1,75.7,33.1,13.0,17.8,15.3,9.85,21.0,23.0,9.93
27,8.7,36.1,92.9,113.0,51.5,20.5,19.9,31.5,16.6,55.82670617104763,39.3,44.8
28,19.2,32.5,88.1,136.0,107.0,33.3,83.1,68.6,24.8,14.451487761879411,15.4,24.0
29,26.5,26.5,106.0,84.82740225962367,62.9,108.0,45.8,44.1,31.1,15.0,29.0,16.0
30,44.6,70.1,76.6,37.1,55.653272010318204,26.8,18.3,18.1,54.2,39.6,52.7,40.5
31,30.9,25.845469693080204,101.0,137.0,67.2,32.7,44.5,24.4,15.4,16.6,19.9,48.1
32,26.4,43.7,50.6,76.1,22.5,35.7205501869996,28.3,23.1,11.4,18.1,19.2,26.9
33,67.1,39.06230056243343,70.9,84.9,79.3,35.141228800144894,41.423062567928106,35.2,25.3,19.1,24.7,83.1
34,37.5,21.6,43.5,62.9,31.0,36.58412277716611,35.6,21.1,11.2,10.0,8.6,12.1
35,9.6,8.0,29.8,77.3,40.3,57.9,19.7065269117832,8.4,7.9,8.7,9.8,9.8
36,9.6,15.7,40.3,87.9,22.0,54.5,16.0,12.8,19.4,14.1,13.838100576381228,12.0
37,22.7,33.5,32.9,70.24151401029414,26.0,58.142729452591944,37.8,18.3,11.698980057205752,12.5,10.4,14.2
